Company Name,Company Name (Slug),Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,User,Designation/Position,Add to Customer Stories,Add to scrolling banner?,Add to Savings-Calculator landing page?,Business Type,User Profile Photo,Company Logo (Primary),Company Logo (transparent),Thumbnail for Customer Story,Article Title,One-liner testimonial,Featured Quote for Customer Story
Barcode Street Food,barcode-streetfood,694a420ffa7ea2133bd2e6d6,67b86eb1f718fa2c5be225bd,6952818023ae545f85c301b9,false,false,Mon Dec 29 2025 13:26:24 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 14:31:07 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 15:39:27 GMT+0000 (Coordinated Universal Time),Lukasz Pasek,Bar Manager,false,true,true,Bar,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/695282e9b14601676a6ad8de_lukasz-pasek-barcode.jpg,,,,,"""Drinks, prices, and margins. Always up to date.”",
Brasilia,brasilia,694a420ffa7ea2133bd2e6d6,67b86eb1f718fa2c5be225bd,69528180d3e337d888b4cf2a,false,false,Mon Dec 29 2025 13:26:24 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 14:31:07 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 15:39:27 GMT+0000 (Coordinated Universal Time),Nikolaos Kiosses,CEO,false,true,true,Restaurant,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/6952839535e4184a62036c17_Brasilia.png,,,,,"""Support we can count on""",
Byliv AS,byliv,694a420ffa7ea2133bd2e6d6,67b86eb1f718fa2c5be225bd,694a47f2cc2c8a513fc29f24,false,false,Tue Dec 23 2025 07:42:42 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 14:31:07 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 15:39:27 GMT+0000 (Coordinated Universal Time),Jørgen Stråtveit,Managing Partner,false,true,true,Restaurant,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/694a47d51506bb420ba0d2cd_J%C3%B8rgen-Stra%CC%8Atveit.jpeg,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/694a47e56ca933ccced029fb_byliv.png,,,,"""Control over our margins""",
Concept Restaurants,concept-restaurants,694a420ffa7ea2133bd2e6d6,67b86eb1f718fa2c5be225bd,69528181aec62dcc1f3aff9b,false,false,Mon Dec 29 2025 13:26:25 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 14:31:07 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 15:39:27 GMT+0000 (Coordinated Universal Time),Erik Tronbøl,CEO,false,true,true,Restaurant,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/695284264842f7fea6f19ff6_Erik-Concept-Restaurants.png,,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/69528455309bc9ba563a7502_concept%20restaurants%20logo.png,,,"""Essential for profitability""",
Den Glade Gris,den-glade-gris,694a420ffa7ea2133bd2e6d6,67b86eb1f718fa2c5be225bd,69528181a1ff503c03db06d0,false,false,Mon Dec 29 2025 13:26:25 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 14:31:07 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 15:39:27 GMT+0000 (Coordinated Universal Time),Carmen Neyrinck,Operational Manager,false,true,false,Restaurant,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/69528411ed740cbb9f9a1f18_carmen.jpeg,,,,,"""I dig the system!""",
Døgnvill Burger,dognvill-burger,694a420ffa7ea2133bd2e6d6,67b86eb1f718fa2c5be225bd,6952818176940c710010573a,false,false,Mon Dec 29 2025 13:26:25 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 14:35:00 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 15:39:27 GMT+0000 (Coordinated Universal Time),Tarje Haakstad,Owner & General Manager,false,false,true,Restaurant,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/695283c88acf1a6cd691951c_Tarje-Haakstad-D%C3%B8gnvill.jpeg,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/695283d5b44a98754973b280_d%C3%B8gnvill-burger.png,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/695283ea6efa4d906ab85aa5_user-dognvillburger.png,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/695283feac458e48b9687d43_dognville-burger-spotlight.jpeg,,"""Without a doubt the best system we’ve tried!""",
Eik&Friends,eik-and-friends,694a420ffa7ea2133bd2e6d6,67b86eb1f718fa2c5be225bd,694a465e0fb10f7c3af34fcb,true,true,Tue Dec 23 2025 07:35:57 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 03:44:56 GMT+0000 (Coordinated Universal Time),,Tom Victor Gausdal,Executive Head Chef,true,false,false,Restaurant,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/694ad70c9a31dfc03e0adc4c_tom-victor.png,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/694abc5eb8c6529a08242b48_eik-and-friends.png,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/694abc418db2afd41526d724_eik-logo.png,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/694abc77f785dab55f812f5b_Stallen-Selskapslokale-Eik%26Friends-3.webp,How EIK&Friends keeps control of 54 venues with Stockifi,"""Easy Recipe Management""","""Stockifi has made recipe building so easy. It keeps track of ingredient price changes and keeps my margins updated.”"
Eik&Friends,eikandfriends,694a420ffa7ea2133bd2e6d6,67b86eb1f718fa2c5be225bd,6952818001b9b1ab51d91fa9,false,false,Mon Dec 29 2025 13:26:24 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 14:31:07 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 15:39:27 GMT+0000 (Coordinated Universal Time),Anders Braathen,Operations Manager,false,true,true,Restaurant,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/695282c2a299a1f846843e4b_Eik%26Friends-anders-braathen.png,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/694abc5eb8c6529a08242b48_eik-and-friends.png,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/695281f9f5351c4fa6c3bdfe_user-eikandfriends.png,,,"""Must-have tool for restaurant operations""",
Villa Paradiso,villa-paradiso,694a420ffa7ea2133bd2e6d6,67b86eb1f718fa2c5be225bd,69528180cd57524bbce14673,false,false,Mon Dec 29 2025 13:26:24 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 14:31:07 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 15:39:27 GMT+0000 (Coordinated Universal Time),Ioannis Stratakis,System Coordinator,false,true,true,Restaurant,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/6952837d793fda23ba2f37d7_ioannis-stratakis-villa-paradiso.png,,,,,"""Up and ready in under 48 hours!""",
Heim,heim-gastropub,694a420ffa7ea2133bd2e6d6,67b86eb1f718fa2c5be225bd,694a487b0219c191ee8b426c,true,true,Tue Dec 23 2025 07:44:59 GMT+0000 (Coordinated Universal Time),Fri Jan 02 2026 14:25:14 GMT+0000 (Coordinated Universal Time),,Anja Skjævestad,Chief F&B Officer,true,false,false,Restaurant,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/694a482de4202fb9f05d669b_anja-skj%C3%A6vestad.jpg,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/694a483f6bd1da71d0f3b265_heim-1080x1080.png,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/694a485952d8273df563168e_heim-logo.png,https://cdn.prod.website-files.com/67b86eb1f718fa2c5be225e4/694abb4592784a24af0d86c5_heim-Lillehammer.jpg,How Heim Gastropub manages costs across 6 locations in just 20 minutes per week,"""20 minutes a week, that’s it!""","""Almost no time needed. It's so simple and keeps everything in order with minimal time spent."""
